algoritmo,caso,tamanho,tempo,trocas,comparacoes
radix,normal,100,0.000002,0,0
radix,normal,1000,0.000001,0,0
radix,normal,10000,0.000002,0,0
radix,normal,100000,0.000002,0,0
radix,reverse,100,0.000007,0,0
radix,reverse,1000,0.000066,0,0
radix,reverse,10000,0.000845,0,0
radix,reverse,100000,0.012002,0,0
radix,random,100,0.000007,0,0
radix,random,100,0.000006,0,0
radix,random,100,0.000006,0,0
radix,random,100,0.000006,0,0
radix,random,100,0.000005,0,0
radix,random,1000,0.000050,0,0
radix,random,1000,0.000054,0,0
radix,random,1000,0.000055,0,0
radix,random,1000,0.000055,0,0
radix,random,1000,0.000054,0,0
radix,random,10000,0.000277,0,0
radix,random,10000,0.000254,0,0
radix,random,10000,0.000272,0,0
radix,random,10000,0.000251,0,0
radix,random,10000,0.000252,0,0
radix,random,100000,0.003380,0,0
radix,random,100000,0.003141,0,0
radix,random,100000,0.003947,0,0
radix,random,100000,0.004607,0,0
radix,random,100000,0.004382,0,0
bubble,normal,100,0.000001,0,0
bubble,normal,1000,0.000001,0,0
bubble,normal,10000,0.000001,0,0
bubble,normal,100000,0.000001,0,0
bubble,reverse,100,0.000041,4950,4950
bubble,reverse,1000,0.003417,499500,499500
bubble,reverse,10000,0.214931,49995000,49995000
bubble,reverse,100000,20.976822,704982704,704982704
bubble,random,100,0.000015,1332,3060
bubble,random,100,0.000016,1332,3060
bubble,random,100,0.000018,1332,3060
bubble,random,100,0.000016,1332,3060
bubble,random,100,0.000015,1332,3060
bubble,random,1000,0.000843,112830,229191
bubble,random,1000,0.000850,112830,229191
bubble,random,1000,0.000939,112830,229191
bubble,random,1000,0.000921,112830,229191
bubble,random,1000,0.000842,112830,229191
bubble,random,10000,0.005412,709067,1408561
bubble,random,10000,0.006206,709067,1408561
bubble,random,10000,0.007204,709067,1408561
bubble,random,10000,0.005892,709067,1408561
bubble,random,10000,0.007992,709067,1408561
bubble,random,100000,0.293467,34346745,68188010
bubble,random,100000,0.291260,34346745,68188010
bubble,random,100000,0.290495,34346745,68188010
bubble,random,100000,0.282164,34346745,68188010
bubble,random,100000,0.280089,34346745,68188010
heap,normal,100,0.000001,0,2
heap,normal,1000,0.000002,0,2
heap,normal,10000,0.000001,0,2
heap,normal,100000,0.000001,0,2
heap,reverse,100,0.000008,417,1134
heap,reverse,1000,0.000108,7317,17634
heap,reverse,10000,0.001421,106697,243394
heap,reverse,100000,0.017395,1397435,3094870
heap,random,100,0.000008,363,962
heap,random,100,0.000007,363,962
heap,random,100,0.000008,363,962
heap,random,100,0.000008,363,962
heap,random,100,0.000007,363,962
heap,random,1000,0.000082,5109,12254
heap,random,1000,0.000080,5109,12254
heap,random,1000,0.000081,5109,12254
heap,random,1000,0.000080,5109,12254
heap,random,1000,0.000090,5109,12254
heap,random,10000,0.000241,14813,34662
heap,random,10000,0.000249,14813,34662
heap,random,10000,0.000241,14813,34662
heap,random,10000,0.000235,14813,34662
heap,random,10000,0.000262,14813,34662
heap,random,100000,0.002080,136126,307288
heap,random,100000,0.002065,136126,307288
heap,random,100000,0.002659,136126,307288
heap,random,100000,0.002741,136126,307288
heap,random,100000,0.003481,136126,307288
insertion,normal,100,0.000001,0,0
insertion,normal,1000,0.000001,0,0
insertion,normal,10000,0.000001,0,0
insertion,normal,100000,0.000001,0,0
insertion,reverse,100,0.000031,99,4950
insertion,reverse,1000,0.002409,999,499500
insertion,reverse,10000,0.128488,9999,49995000
insertion,reverse,100000,12.613320,99999,704982704
insertion,random,100,0.000006,78,1332
insertion,random,100,0.000008,78,1332
insertion,random,100,0.000005,78,1332
insertion,random,100,0.000006,78,1332
insertion,random,100,0.000005,78,1332
insertion,random,1000,0.000283,678,112830
insertion,random,1000,0.000285,678,112830
insertion,random,1000,0.000318,678,112830
insertion,random,1000,0.000284,678,112830
insertion,random,1000,0.000311,678,112830
insertion,random,10000,0.001869,1678,709067
insertion,random,10000,0.002301,1678,709067
insertion,random,10000,0.002750,1678,709067
insertion,random,10000,0.002549,1678,709067
insertion,random,10000,0.001983,1678,709067
insertion,random,100000,0.099321,11678,34346745
insertion,random,100000,0.090288,11678,34346745
insertion,random,100000,0.094347,11678,34346745
insertion,random,100000,0.089188,11678,34346745
insertion,random,100000,0.088891,11678,34346745
merge,normal,100,0.000001,0,1
merge,normal,1000,0.000001,0,1
merge,normal,10000,0.000001,0,1
merge,normal,100000,0.000001,0,1
